ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
6.869001313618424,2.671201613738221,0.7313991777948456,0.11678592142315417,376,39.227714633391486,87.0344579039429,foc,y/h,free,e/u,"2903.97, 230.19",31.854988009466684,11.500304935204923,0.901855,1.0,0.0736+-0.0002,0.8817+-0.0000
7.3518513104883665,3.290670251575139,0.5538028449272201,0.16918049311876732,326,59.74809186073813,85.41525899180002,free,e/h,foc,y/u,"3048.30, 502.54",57.88806670005589,11.177836121024933,0.901855,1.0,0.0398+-0.0077,0.6668+-0.0083
5.88259478803575,3.229828669802154,0.5347931853971127,0.16292266787237733,479,43.43546001563564,65.09176565558255,distr,e/u,distr,y/s,"2833.24, 364.23",74.90304333374652,11.213808428426761,0.0337242,0.133311,0.8049+-0.0167,0.0327+-0.0327
6.000022752248423,2.9216227133917085,0.6945568809068114,0.13899409599056062,483,91.72951601521707,35.615704822187254,free,e/u,free,e/h,"120.30, 274.72",35.18325769229241,12.201164150328763,0.0,0.0981446,0.9985+-0.0000,0.0000+-0.0000
7.441864992473434,3.136336941860449,0.7286869938459212,0.17221242616847154,644,39.66902354336769,78.55352673942932,free,y/s,free,y/s,"1425.68, 583.33",31.624499933859724,12.389620631205334,0.901855,1.0,0.2043+-0.0360,0.1207+-0.0206
7.333503901552958,3.9192022982093775,0.6345898507862293,0.18436026007441014,613,86.87475151225601,51.99341494563877,foc,y/s,foc,y/h,"2605.55, 448.23",39.10880860238042,12.252129609425795,0.0,0.0981446,0.2679+-0.0532,0.0000+-0.0000
7.3811566839588245,3.8922075956781947,0.6585048013577479,0.16832699607024465,263,51.39426680476876,30.783293341153513,distr,y/h,distr,y/h,"2789.49, 340.44",83.16720497320455,11.224842328283938,0.0,0.0981446,0.0226+-0.0016,0.0231+-0.0066
7.494241538049123,2.5298075702280234,0.5171842780094293,0.1049608976166571,413,97.61060615079585,95.99972182259926,distr,e/h,distr,y/u,"1439.52, 588.88",40.59950279220806,11.946743394586868,0.0257282,0.125623,0.0582+-0.0076,0.4039+-0.4039
6.579184079396998,3.165455771495526,0.5023516405887549,0.21407620402535163,317,49.488813011071,34.39037339119984,distr,e/u,distr,e/h,"3010.97, 236.87",67.72099812375635,11.719971879027751,0.0,0.0981446,0.9396+-0.0190,0.0073+-0.0073
5.056480348115905,4.390592203453179,0.545575704026951,0.23658014607291333,588,35.08473117629389,84.60043823647382,distr,y/h,free,y/h,"2734.00, 259.68",89.29736212561632,12.059111982923458,0.901855,1.0,0.0495+-0.0025,0.0366+-0.0022
5.202877225115294,4.121882922319366,0.697891792642103,0.34537941076738926,429,41.70526925007924,31.555972618337748,foc,y/h,distr,e/u,"2636.32, 535.99",90.33459570981185,12.279869654135306,0.0519702,0.151639,0.0300+-0.0005,0.7991+-0.0205
6.390656811489324,3.823125333354687,0.524137173682878,0.35775857623775786,698,36.328075244119944,32.69759401649188,foc,y/h,foc,e/s,"2149.17, 207.59",32.859214806862965,11.862478404739292,0.901855,1.0,0.0663+-0.0000,0.2808+-0.0000
6.161123638673837,3.631487318532449,0.5914725201997177,0.16692656741806405,464,83.99543676862899,36.943570273555494,foc,e/s,foc,y/u,"1437.54, 764.56",91.68711219760955,11.999583381265948,0.901855,1.0,0.4300+-0.0040,0.8030+-0.0000
7.099305224532461,3.138640551734084,0.5390835656957735,0.13693386641248123,313,64.15161951415088,34.4879659608926,foc,e/h,distr,y/u,"1486.30, 722.64",88.91460452449567,11.648420868516732,0.320755,0.420677,0.0259+-0.0011,0.4706+-0.0197
5.782530380761065,3.667098417007793,0.5426729449163511,0.11642092893320355,572,53.51095094660724,60.44051583506857,distr,y/h,distr,y/s,"3695.78, 718.41",83.48888935973116,12.071860336600801,0.421586,0.521483,0.0219+-0.0003,0.0584+-0.0584
6.371708172228102,2.6432268210377243,0.5189172231244705,0.2688188472373737,548,87.94732372420654,92.57123501164881,distr,e/u,distr,y/h,"3425.96, 294.72",58.20146269828405,11.269444142501838,0.0257282,0.125623,0.8656+-0.1218,0.0104+-0.0104
5.8986244786254325,2.7125988639512877,0.7972221025552098,0.1738966970145216,255,31.371302662828306,69.20994800384491,foc,y/h,foc,e/u,"801.99, 255.09",97.8381787834587,11.230960458355595,0.87865,0.978536,0.0762+-0.0048,0.6375+-0.0000
5.543761248432052,2.17571047743533,0.7212954870043465,0.3543305057374314,453,99.74500745758111,40.168113520976654,free,e/h,distr,y/u,"3179.45, 234.90",84.31747387907902,12.367033253933139,0.0,0.0981446,0.1081+-0.0299,0.3269+-0.3269
7.097214056285285,3.997637673080665,0.5804469489535734,0.22196596117946327,289,97.99143317968611,71.5821249411147,foc,y/h,foc,e/u,"550.07, 705.75",45.70789698003883,11.333355713350944,0.0,0.0981446,0.0833+-0.0000,0.0000+-0.0000
6.024516275632135,2.4597737536285775,0.5737937038655727,0.3790593441602551,433,84.56557831270595,44.32887259189938,foc,y/s,foc,y/h,"2592.18, 624.71",40.39629487233145,11.311316452749514,0.000468738,0.0989152,0.4036+-0.0344,0.0000+-0.0000
